epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2205,1.4507,2.90123,1.20159,0.02464,0.91318,0.4958,0.27004,1.46203,3.09929,1.18643,0.000408333,0.000408333,0.000408333
2,19.2218,1.30668,1.29067,1.10479,0.68981,0.65069,0.66839,0.42257,1.3341,1.84175,1.24526,0.000816833,0.000816833,0.000816833
3,27.9683,1.22354,1.06254,1.08504,0.75116,0.71204,0.76549,0.44916,1.28148,1.28057,1.25382,0.00121708,0.00121708,0.00121708
4,36.5069,1.20517,1.00424,1.05943,0.835,0.79506,0.84535,0.52092,1.17562,1.01978,1.16463,0.00121287,0.00121287,0.00121287
5,45.4258,1.17807,0.91976,1.05273,0.71536,0.80085,0.76945,0.49358,1.20709,0.99323,1.19988,0.0012005,0.0012005,0.0012005
6,53.8798,1.1614,0.883,1.03605,0.72661,0.73426,0.79158,0.52277,1.15262,0.86633,1.15884,0.00118812,0.00118812,0.00118812
7,62.2049,1.12356,0.83898,1.0335,0.69263,0.79183,0.74612,0.49314,1.16418,1.00702,1.15524,0.00117575,0.00117575,0.00117575
8,70.7434,1.14135,0.82351,1.03978,0.81628,0.88917,0.87307,0.53591,1.17023,0.88877,1.17524,0.00116337,0.00116337,0.00116337
9,79.0312,1.12716,0.77978,1.01811,0.76062,0.82542,0.85888,0.54239,1.14911,0.80916,1.14442,0.001151,0.001151,0.001151
10,87.3102,1.10509,0.76353,1.01678,0.82235,0.83557,0.87308,0.58242,1.10028,0.79736,1.11766,0.00113863,0.00113863,0.00113863
11,95.5046,1.10681,0.73558,1.00597,0.87185,0.83914,0.89608,0.59305,1.11741,0.72022,1.11052,0.00112625,0.00112625,0.00112625
12,103.875,1.08841,0.718,1.00241,0.76664,0.86022,0.86337,0.57542,1.11544,0.82449,1.13978,0.00111388,0.00111388,0.00111388
13,112.187,1.06685,0.68173,0.99479,0.86077,0.90215,0.89617,0.57258,1.12769,0.73267,1.12167,0.0011015,0.0011015,0.0011015
14,120.422,1.06608,0.6808,0.99764,0.84409,0.8365,0.88036,0.57524,1.11809,0.67476,1.12002,0.00108913,0.00108913,0.00108913
15,128.788,1.0429,0.65322,0.98907,0.86504,0.90353,0.88937,0.58452,1.05349,0.65854,1.08806,0.00107675,0.00107675,0.00107675
16,137.201,1.01385,0.63822,0.97691,0.8003,0.75289,0.81187,0.56497,1.08145,0.79134,1.10725,0.00106437,0.00106437,0.00106437
17,145.53,1.03106,0.63461,0.98395,0.78726,0.7945,0.86257,0.55849,1.07165,0.73915,1.09926,0.001052,0.001052,0.001052
18,153.712,1.03431,0.63592,0.99705,0.88557,0.86256,0.91339,0.61238,1.07299,0.6057,1.11711,0.00103962,0.00103962,0.00103962
19,161.969,1.02784,0.61917,0.9897,0.85255,0.89335,0.88401,0.59326,1.10055,0.62751,1.12739,0.00102725,0.00102725,0.00102725
20,170.366,1.01893,0.5979,0.97691,0.82557,0.84847,0.84812,0.56898,1.0865,0.68325,1.13037,0.00101488,0.00101488,0.00101488
21,178.821,1.03203,0.60105,0.98268,0.87984,0.86822,0.90811,0.61747,1.04763,0.62921,1.08323,0.0010025,0.0010025,0.0010025
22,187.171,0.99116,0.57908,0.9704,0.84021,0.89165,0.90424,0.61447,1.04114,0.66751,1.07363,0.000990125,0.000990125,0.000990125
23,195.293,0.99087,0.5774,0.97173,0.84911,0.80909,0.89323,0.61669,1.06936,0.63433,1.09942,0.00097775,0.00097775,0.00097775
24,203.694,1.01501,0.58371,0.97442,0.85826,0.8844,0.87265,0.60124,1.02135,0.61768,1.10181,0.000965375,0.000965375,0.000965375
25,212.103,1.00673,0.58046,0.97327,0.91432,0.82525,0.91025,0.62856,1.0305,0.61779,1.08255,0.000953,0.000953,0.000953
26,220.324,0.98928,0.56925,0.96787,0.87348,0.91624,0.92699,0.63193,1.00896,0.61133,1.07123,0.000940625,0.000940625,0.000940625
