epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6859,1.36389,1.62784,1.16351,0.47614,0.61795,0.61998,0.36357,1.33007,1.29502,1.28123,0.000408333,0.000408333,0.000408333
2,20.1655,1.17025,0.82828,1.03237,0.76272,0.50992,0.55069,0.36002,1.32423,1.54671,1.33835,0.000816833,0.000816833,0.000816833
3,28.9858,1.1323,0.7774,1.03614,0.76649,0.55688,0.55903,0.31648,1.38485,1.44318,1.36812,0.00121708,0.00121708,0.00121708
4,37.5667,1.15493,0.75368,1.0279,0.47248,0.49823,0.50386,0.31503,1.42461,1.09365,1.42308,0.00121287,0.00121287,0.00121287
5,46.2353,1.10129,0.68095,1.01874,0.83181,0.62809,0.63326,0.42717,1.18136,0.92143,1.19156,0.0012005,0.0012005,0.0012005
6,55.3062,1.11153,0.67326,1.01515,0.61909,0.68846,0.70456,0.47119,1.17039,1.09977,1.16181,0.00118812,0.00118812,0.00118812
7,64.5015,1.07349,0.6412,1.00376,0.90214,0.67116,0.75505,0.51199,1.20087,0.8578,1.20887,0.00117575,0.00117575,0.00117575
8,73.4064,1.10161,0.64426,1.01809,0.69896,0.78554,0.75775,0.49507,1.16765,0.82022,1.17061,0.00116337,0.00116337,0.00116337
9,82.1295,1.04466,0.61777,0.98156,0.71583,0.71867,0.71711,0.47531,1.16123,1.16102,1.18101,0.001151,0.001151,0.001151
10,90.7821,1.04551,0.60118,0.99077,0.64742,0.84317,0.78837,0.53576,1.10366,0.79666,1.12798,0.00113863,0.00113863,0.00113863
11,99.6737,1.04323,0.59233,0.98271,0.76917,0.8486,0.86022,0.56416,1.0874,0.7243,1.11339,0.00112625,0.00112625,0.00112625
12,108.567,1.02615,0.58888,0.98204,0.92371,0.69906,0.78681,0.54607,1.10533,0.77586,1.13371,0.00111388,0.00111388,0.00111388
13,117.096,0.99305,0.55109,0.96786,0.83878,0.90922,0.90017,0.58992,1.08527,0.63874,1.10365,0.0011015,0.0011015,0.0011015
14,125.925,1.00892,0.55711,0.97523,0.73277,0.8268,0.83475,0.55627,1.14897,0.72059,1.14409,0.00108913,0.00108913,0.00108913
15,134.512,1.00283,0.5437,0.97384,0.75887,0.8422,0.79796,0.54557,1.07616,0.67094,1.12063,0.00107675,0.00107675,0.00107675
16,142.986,0.95613,0.543,0.95904,0.85147,0.89622,0.9096,0.59771,1.05553,0.65105,1.11573,0.00106437,0.00106437,0.00106437
17,151.535,0.97455,0.53809,0.96301,0.74277,0.78325,0.73341,0.50966,1.08798,0.74525,1.14757,0.001052,0.001052,0.001052
18,160.165,0.98678,0.54099,0.97727,0.73912,0.83818,0.75624,0.52562,1.09855,0.66172,1.12551,0.00103962,0.00103962,0.00103962
19,168.72,0.9725,0.52944,0.97291,0.89102,0.89344,0.94333,0.62013,1.04974,0.61106,1.10472,0.00102725,0.00102725,0.00102725
20,177.665,0.96073,0.5215,0.96009,0.85958,0.88357,0.88885,0.58434,1.02564,0.63032,1.07539,0.00101488,0.00101488,0.00101488
21,186.691,0.97137,0.52693,0.96238,0.79586,0.90805,0.86987,0.56857,1.0645,0.61138,1.11544,0.0010025,0.0010025,0.0010025
22,195.417,0.9457,0.50929,0.95462,0.86549,0.83016,0.84157,0.58524,1.02688,0.58984,1.0766,0.000990125,0.000990125,0.000990125
23,204.278,0.9255,0.49791,0.95073,0.92816,0.89739,0.94257,0.63932,1.03094,0.55815,1.07938,0.00097775,0.00097775,0.00097775
24,213.129,0.95555,0.51123,0.95582,0.86838,0.90042,0.9041,0.6204,1.02421,0.56089,1.08818,0.000965375,0.000965375,0.000965375
25,221.784,0.94095,0.50518,0.95173,0.87024,0.84409,0.85949,0.58447,1.09235,0.65083,1.113,0.000953,0.000953,0.000953
26,230.295,0.94109,0.49513,0.94836,0.85438,0.84047,0.85839,0.59213,1.03951,0.56668,1.12047,0.000940625,0.000940625,0.000940625
27,238.955,0.92834,0.49391,0.94714,0.87238,0.89065,0.92286,0.63119,1.0057,0.57743,1.08494,0.00092825,0.00092825,0.00092825
28,247.509,0.89006,0.47848,0.93599,0.87421,0.87605,0.91226,0.62763,1.01148,0.5495,1.07961,0.000915875,0.000915875,0.000915875
29,256.119,0.90137,0.48635,0.93835,0.85053,0.85198,0.89487,0.61989,1.00442,0.53938,1.08321,0.0009035,0.0009035,0.0009035
30,264.689,0.90596,0.47227,0.93335,0.86092,0.89163,0.88038,0.62044,0.97149,0.51303,1.06524,0.000891125,0.000891125,0.000891125
31,273.171,0.8968,0.46915,0.94099,0.83703,0.85975,0.87174,0.62616,1.02625,0.56094,1.09252,0.00087875,0.00087875,0.00087875
32,281.763,0.89163,0.46353,0.9282,0.905,0.84151,0.89747,0.63098,0.98012,0.51702,1.06588,0.000866375,0.000866375,0.000866375
33,290.46,0.87914,0.4586,0.93528,0.87787,0.89635,0.93128,0.64405,0.99069,0.53107,1.06247,0.000854,0.000854,0.000854
34,299.551,0.88735,0.45876,0.9333,0.87588,0.87153,0.91793,0.62118,1.04348,0.51163,1.09354,0.000841625,0.000841625,0.000841625
35,308.131,0.9016,0.47372,0.93488,0.86844,0.88453,0.90984,0.64229,1.00612,0.51829,1.07188,0.00082925,0.00082925,0.00082925
36,316.893,0.89979,0.46177,0.92823,0.92271,0.90162,0.92933,0.66075,1.00224,0.51582,1.07747,0.000816875,0.000816875,0.000816875
37,325.774,0.90447,0.45533,0.93,0.91997,0.87612,0.92245,0.66849,0.98593,0.48168,1.07485,0.0008045,0.0008045,0.0008045
38,334.825,0.87461,0.44554,0.92592,0.8943,0.87923,0.90783,0.6224,1.03395,0.5309,1.10372,0.000792125,0.000792125,0.000792125
39,343.319,0.8788,0.44866,0.92688,0.86709,0.89217,0.91931,0.67017,0.95101,0.48267,1.06322,0.00077975,0.00077975,0.00077975
40,352.327,0.86862,0.44643,0.92225,0.91594,0.90125,0.92114,0.64922,0.98935,0.50181,1.05285,0.000767375,0.000767375,0.000767375
41,361.019,0.87694,0.44929,0.92612,0.90007,0.88889,0.90789,0.64738,0.95713,0.50648,1.04298,0.000755,0.000755,0.000755
42,369.488,0.84632,0.42982,0.92505,0.91673,0.87444,0.91966,0.66058,0.96518,0.48236,1.07104,0.000742625,0.000742625,0.000742625
43,377.771,0.84563,0.42874,0.91984,0.92789,0.86289,0.89598,0.64098,1.00295,0.49142,1.06875,0.00073025,0.00073025,0.00073025
44,386.459,0.86328,0.43515,0.91633,0.92728,0.88969,0.92306,0.65511,0.97548,0.46442,1.07688,0.000717875,0.000717875,0.000717875
45,395.053,0.85196,0.42865,0.91691,0.90633,0.84881,0.88994,0.63687,1.02281,0.50775,1.08212,0.0007055,0.0007055,0.0007055
46,403.78,0.8417,0.43241,0.91551,0.91106,0.91964,0.93879,0.675,0.92612,0.48343,1.02586,0.000693125,0.000693125,0.000693125
47,412.704,0.84017,0.42544,0.91496,0.84443,0.91293,0.91613,0.64339,0.96187,0.48051,1.05278,0.00068075,0.00068075,0.00068075
48,421.646,0.86159,0.43709,0.91745,0.91167,0.88373,0.93306,0.67002,0.95446,0.48377,1.05162,0.000668375,0.000668375,0.000668375
49,430.397,0.84367,0.42738,0.92071,0.8732,0.88565,0.92195,0.66394,0.92428,0.47677,1.03041,0.000656,0.000656,0.000656
50,439.09,0.80519,0.40763,0.90689,0.94657,0.8933,0.93997,0.67535,0.92949,0.45458,1.04136,0.000643625,0.000643625,0.000643625
51,447.981,0.8227,0.40981,0.9124,0.91477,0.89706,0.93326,0.68196,0.92115,0.4762,1.029,0.00063125,0.00063125,0.00063125
52,457.021,0.83757,0.42163,0.91703,0.87577,0.89467,0.914,0.66299,0.94372,0.47261,1.03424,0.000618875,0.000618875,0.000618875
53,465.704,0.82508,0.4183,0.91613,0.87556,0.89816,0.93714,0.66788,0.95824,0.48746,1.04875,0.0006065,0.0006065,0.0006065
54,474.288,0.81867,0.40565,0.9097,0.8995,0.92478,0.9438,0.6773,0.94295,0.43591,1.06088,0.000594125,0.000594125,0.000594125
55,482.73,0.83535,0.41082,0.90546,0.87655,0.94352,0.93102,0.68309,0.91199,0.44052,1.03979,0.00058175,0.00058175,0.00058175
56,491.588,0.81853,0.40753,0.90664,0.90162,0.90183,0.93066,0.67168,0.93344,0.45265,1.05364,0.000569375,0.000569375,0.000569375
57,499.995,0.80067,0.40179,0.91201,0.94386,0.89352,0.93528,0.65856,0.97492,0.46531,1.05437,0.000557,0.000557,0.000557
58,508.303,0.80703,0.40318,0.90685,0.95043,0.87724,0.93914,0.6652,0.90922,0.43756,1.02531,0.000544625,0.000544625,0.000544625
59,516.888,0.79717,0.3933,0.91341,0.91781,0.90956,0.9534,0.69319,0.90771,0.43149,1.02757,0.00053225,0.00053225,0.00053225
60,525.865,0.78956,0.3908,0.89927,0.92578,0.9123,0.93959,0.66992,0.95344,0.44225,1.04509,0.000519875,0.000519875,0.000519875
61,534.55,0.79728,0.39295,0.90085,0.90138,0.91268,0.93585,0.68375,0.90937,0.43179,1.02364,0.0005075,0.0005075,0.0005075
62,543.297,0.78871,0.38826,0.89893,0.89718,0.92341,0.92856,0.66856,0.93317,0.43702,1.05641,0.000495125,0.000495125,0.000495125
63,551.952,0.79496,0.39366,0.9018,0.88242,0.87796,0.92184,0.67286,0.90199,0.45283,1.01596,0.00048275,0.00048275,0.00048275
64,560.725,0.79326,0.39094,0.90348,0.94908,0.89456,0.94355,0.68122,0.929,0.42399,1.05781,0.000470375,0.000470375,0.000470375
65,569.481,0.79448,0.39189,0.8945,0.91671,0.9019,0.93321,0.67395,0.92715,0.43452,1.0485,0.000458,0.000458,0.000458
66,578.375,0.78412,0.38669,0.89562,0.86339,0.94907,0.93979,0.68335,0.90463,0.43376,1.04454,0.000445625,0.000445625,0.000445625
67,586.965,0.75883,0.37585,0.89663,0.90688,0.91794,0.93454,0.67658,0.92211,0.42549,1.0483,0.00043325,0.00043325,0.00043325
68,595.455,0.78388,0.38441,0.89381,0.92954,0.91978,0.94077,0.69585,0.91757,0.40885,1.03153,0.000420875,0.000420875,0.000420875
69,604.063,0.7806,0.38117,0.89801,0.91722,0.91731,0.94509,0.69579,0.91682,0.40138,1.04161,0.0004085,0.0004085,0.0004085
70,612.643,0.75173,0.37257,0.89187,0.9219,0.91763,0.94436,0.69689,0.89302,0.40363,1.03554,0.000396125,0.000396125,0.000396125
71,621.556,0.77918,0.37795,0.89386,0.92734,0.90516,0.94424,0.70042,0.8993,0.41362,1.03524,0.00038375,0.00038375,0.00038375
72,630.378,0.76071,0.37222,0.89363,0.95153,0.89655,0.94057,0.69416,0.90253,0.41005,1.02932,0.000371375,0.000371375,0.000371375
73,638.947,0.7621,0.37674,0.89641,0.93945,0.88854,0.93965,0.69357,0.90698,0.40672,1.04459,0.000359,0.000359,0.000359
74,647.626,0.75313,0.36834,0.89027,0.92331,0.91238,0.94169,0.69129,0.89615,0.41386,1.04014,0.000346625,0.000346625,0.000346625
75,656.249,0.7365,0.36029,0.88717,0.93105,0.91239,0.93404,0.68197,0.90947,0.41026,1.04372,0.00033425,0.00033425,0.00033425
76,665.175,0.75038,0.36921,0.88456,0.91845,0.92415,0.94044,0.70518,0.89155,0.38907,1.04031,0.000321875,0.000321875,0.000321875
